,DeviceId,Time,Parking_Status
0,['00-80-00-00-04-01-9f-d7'],2021-06-26T05:33:35.060189Z,0
1,['00-80-00-00-04-01-9f-d7'],2021-06-01T19:51:28.308214Z,0
2,['00-80-00-00-04-01-9f-d7'],2021-07-15T19:01:33.243971Z,0
3,['00-80-00-00-04-01-9f-d7'],2021-07-25T18:06:20.838408Z,0
4,['00-80-00-00-04-01-9f-d7'],2021-06-30T16:32:34.049881Z,0
5,['00-80-00-00-04-01-9f-d7'],2021-08-05T00:25:55.872578Z,0
6,['00-80-00-00-04-01-9f-d7'],2021-06-03T18:23:13.892572Z,0
7,['00-80-00-00-04-01-9f-d7'],2021-07-16T03:22:39.510779Z,1
8,['00-80-00-00-04-01-9f-d7'],2021-07-31T16:04:44.019324Z,0
9,['00-80-00-00-04-01-9f-d7'],2021-07-18T04:17:33.764521Z,0
10,['00-80-00-00-04-01-9f-d7'],2021-06-02T11:22:05.230024Z,0
11,['00-80-00-00-04-01-9f-d7'],2021-06-12T14:35:40.097796Z,0
12,['00-80-00-00-04-01-9f-d7'],2021-07-13T09:57:49.486215Z,1
13,['00-80-00-00-04-01-9f-d7'],2021-08-14T07:31:57.530848Z,0
14,['00-80-00-00-04-01-9f-d7'],2021-08-31T17:27:51.539320Z,0
15,['00-80-00-00-04-01-9f-d7'],2021-07-16T09:20:36.034277Z,1
16,['00-80-00-00-04-01-9f-d7'],2021-06-10T04:08:07.475187Z,1
17,['00-80-00-00-04-01-9f-d7'],2021-08-02T19:22:49.877885Z,0
18,['00-80-00-00-04-01-9f-d7'],2021-08-21T02:12:16.990807Z,0
19,['00-80-00-00-04-01-9f-d7'],2021-06-28T07:40:09.286256Z,1
20,['00-80-00-00-04-01-9f-d7'],2021-06-21T05:03:48.332017Z,1
21,['00-80-00-00-04-01-9f-d7'],2021-06-13T16:50:31.914389Z,0
22,['00-80-00-00-04-01-9f-d7'],2021-08-20T14:16:27.894435Z,0
23,['00-80-00-00-04-01-9f-d7'],2021-08-08T10:45:13.653896Z,0
24,['00-80-00-00-04-01-9f-d7'],2021-07-30T16:13:08.861401Z,0
25,['00-80-00-00-04-01-9f-d7'],2021-08-19T04:52:09.443318Z,1
26,['00-80-00-00-04-01-9f-d7'],2021-06-28T01:42:15.789156Z,0
27,['00-80-00-00-04-01-9f-d7'],2021-06-29T08:19:56.456866Z,1
28,['00-80-00-00-04-01-9f-d7'],2021-09-02T02:52:15.340788Z,1
29,['00-80-00-00-04-01-9f-d7'],2021-07-11T15:00:55.768687Z,0
30,['00-80-00-00-04-01-9f-d7'],2021-08-16T08:26:56.793944Z,1
31,['00-80-00-00-04-01-9f-d7'],2021-08-05T17:08:12.605841Z,0
32,['00-80-00-00-04-01-9f-d7'],2021-09-06T05:53:38.695769Z,1
33,['00-80-00-00-04-01-9f-d7'],2021-08-27T01:19:09.394639Z,0
34,['00-80-00-00-04-01-9f-d7'],2021-06-02T17:20:06.788728Z,0
35,['00-80-00-00-04-01-9f-d7'],2021-09-06T14:14:44.122628Z,0
36,['00-80-00-00-04-01-9f-d7'],2021-07-27T10:40:18.713643Z,1
37,['00-80-00-00-04-01-9f-d7'],2021-08-30T21:11:03.067674Z,0
38,['00-80-00-00-04-01-9f-d7'],2021-07-26T12:00:14.424374Z,0
39,['00-80-00-00-04-01-9f-d7'],2021-06-02T23:18:02.324978Z,0
40,['00-80-00-00-04-01-9f-d7'],2021-09-07T20:04:19.112724Z,0
41,['00-80-00-00-04-01-9f-d7'],2021-07-24T18:14:50.658144Z,0
42,['00-80-00-00-04-01-9f-d7'],2021-09-01T20:54:22.649195Z,0
43,['00-80-00-00-04-01-9f-d7'],2021-08-11T06:45:31.267067Z,1
44,['00-80-00-00-04-01-9f-d7'],2021-06-08T04:24:55.122056Z,1
45,['00-80-00-00-04-01-9f-d7'],2021-06-07T06:56:25.826306Z,1
46,['00-80-00-00-04-01-9f-d7'],2021-06-27T04:13:50.549485Z,0
47,['00-80-00-00-04-01-9f-d7'],2021-07-14T06:02:40.078435Z,1
